id,ROI
1,Primary Visual Cortex (V1)
2,Early Visual Cortex
3,Dorsal Stream Visual Cortex
4,Ventral Stream Visual Cortex
5,MT+ Complex and Neighboring Visual Areas
6,Somatosensory and Motor Cortex
7,Paracentral Lobular and Mid Cingulate Cortex
8,Premotor Cortex
9,Posterior Opercular Cortex
10,Early Auditory Cortex
11,Auditory Association Cortex
12,Insular and Frontal Opercular Cortex
13,Medial Temporal Cortex
14,Lateral Temporal Cortex
15,Temporo-Parieto-Occipital Junction
16,Superior Parietal Cortex
17,Inferior Parietal Cortex
18,Posterior Cingulate Cortex
19,Anterior Cingulate and Medial Prefrontal Cortex
20,Orbital and Polar Frontal Cortex
21,Inferior Frontal Cortex
22,DorsoLateral Prefrontal Cortex
